customer_id: 1, username: Mary, password: 2c$_rmMh;
customer_id: 2, username: Patricia, password: g+evubdL;
customer_id: 3, username: Linda, password: n$T8Vt9G;
customer_id: 4, username: Barbara, password: 3dq8hq+c;
customer_id: 5, username: Elizabeth, password: mgM0kXww;
customer_id: 6, username: Jennifer, password: 9#xrGAZb;
customer_id: 7, username: Maria, password: U1&dxW0S;
customer_id: 8, username: Susan, password: T5UT7*z1;
customer_id: 9, username: Margaret, password: x7WRVf-n;
customer_id: 10, username: Dorothy, password: 9nB&VQjT;
customer_id: 11, username: Lisa, password: nJOQedru;
customer_id: 12, username: Nancy, password: HvKWsS+g;
customer_id: 13, username: Karen, password: y81IAU&G;
customer_id: 14, username: Betty, password: hG-MOc_I;
customer_id: 15, username: Helen, password: PAb5HUtT;
customer_id: 16, username: Sandra, password: l!1OURn6;
customer_id: 17, username: Donna, password: tJ6+z8T%;
customer_id: 18, username: Carol, password: 4CuGcN%j;
customer_id: 19, username: Ruth, password: L#+_5qNP;
customer_id: 20, username: Sharon, password: b5pPFW_K;
customer_id: 21, username: Michelle, password: t?kV$Uz+;
customer_id: 22, username: Laura, password: usMO+0BH;
customer_id: 23, username: Sarah, password: !a43Frbj;
customer_id: 24, username: Kimberly, password: 5KhHP3lO;
customer_id: 25, username: Deborah, password: Q14Zd8!w;
customer_id: 26, username: Jessica, password: 5&?m7vdz;
customer_id: 27, username: Shirley, password: 6!HsGU&r;
customer_id: 28, username: Cynthia, password: N%tF+I3a;
customer_id: 29, username: Angela, password: rwa%Cu0p;
customer_id: 30, username: Melissa, password: 9yRfPqJT;
customer_id: 31, username: Brenda, password: U8N$+&Q!;
customer_id: 32, username: Amy, password: CY3NRJ2Z;
customer_id: 33, username: Anna, password: q6VKQ9bn;
customer_id: 34, username: Rebecca, password: jd-2zlSl;
customer_id: 35, username: Virginia, password: 7+JDTmVS;
customer_id: 36, username: Kathleen, password: cplKxtmt;
customer_id: 37, username: Pamela, password: 3vCk$_7g;
customer_id: 38, username: Martha, password: aX-ovnHp;
customer_id: 39, username: Debra, password: kRcMupcs;
customer_id: 40, username: Amanda, password: V0GKcP6f;
customer_id: 41, username: Stephanie, password: sTa0kPE0;
customer_id: 42, username: Carolyn, password: U5aWZsHI;
customer_id: 43, username: Christine, password: qyu_jMUP;
customer_id: 44, username: Marie, password: vAv3-dLW;
customer_id: 45, username: Janet, password: QQJcT+UV;
customer_id: 46, username: Catherine, password: vA?2kpem;
customer_id: 47, username: Frances, password: 9*0!x1Ui;
customer_id: 48, username: Ann, password: 2U?CUovT;
customer_id: 49, username: Joyce, password: oI1N&%WO;
customer_id: 50, username: Diane, password: mw4CRA8v;
customer_id: 51, username: Alice, password: D0ZU_XsG;
customer_id: 52, username: Julie, password: hvuOT2ND;
customer_id: 53, username: Heather, password: OUMMY?2J;
customer_id: 54, username: Teresa, password: M$DyJOD!;
customer_id: 55, username: Doris, password: wQ%weFUl;
customer_id: 56, username: Gloria, password: J95hbx_!;
customer_id: 57, username: Evelyn, password: d63WMhAK;
customer_id: 58, username: Jean, password: WzH8a!-W;
customer_id: 59, username: Cheryl, password: umgXz%q+;
customer_id: 60, username: Mildred, password: sPd#9#-V;
customer_id: 61, username: Katherine, password: vY#1c*na;
customer_id: 62, username: Joan, password: ?DmGPIo_;
customer_id: 63, username: Ashley, password: y7A$3ryc;
customer_id: 64, username: Judith, password: n43Y+a6G;
customer_id: 65, username: Rose, password: 1YX*8T%s;
customer_id: 66, username: Janice, password: BLA5NLTc;
customer_id: 67, username: Kelly, password: z6gOH8CA;
customer_id: 68, username: Nicole, password: o1W$pFOx;
customer_id: 69, username: Judy, password: rJbkf?5Z;
customer_id: 70, username: Christina, password: UYo-3?DJ;
customer_id: 71, username: Kathy, password: kAn+qgGP;
customer_id: 72, username: Theresa, password: AQoa6pzL;
customer_id: 73, username: Beverly, password: U9C5nHgJ;
customer_id: 74, username: Denise, password: #LFelqux;
customer_id: 75, username: Tammy, password: R8!%GY08;
customer_id: 76, username: Irene, password: 1J38RX?S;
customer_id: 77, username: Jane, password: ojg4DNDg;
customer_id: 78, username: Lori, password: iAOug5vV;
customer_id: 79, username: Rachel, password: N86PfYBv;
customer_id: 80, username: Marilyn, password: 8mx3dJ&N;
customer_id: 81, username: Andrea, password: bOevnWCZ;
customer_id: 82, username: Kathryn, password: +5DtNXol;
customer_id: 83, username: Louise, password: 1ao$9L-a;
